customerid,recency,frequency,monetary_value,unique_products,first_purchase,last_purchase,avg_order_value,max_order_value,customer_lifetime_days,r_score,f_score,m_score,rfm_score,customer_segment
12374,25,1,742.9300000000001,33,2011-11-14 15:37:00,2011-11-14 15:37:00,742.9300000000001,742.9300000000001,1,4,1,3,8,New/Potential Customers
12375,11,2,457.5,14,2011-09-02 14:23:00,2011-11-29 10:36:00,228.75,230.3,88,5,2,2,9,New/Potential Customers
12377,315,2,1628.12,72,2010-12-20 09:37:00,2011-01-28 15:45:00,814.06,1001.52,40,1,2,4,7,At-Risk High-Value
12378,130,1,4008.62,219,2011-08-02 10:34:00,2011-08-02 10:34:00,4008.62,4008.62,1,2,1,5,8,At-Risk High-Value
12379,82,2,852.24,39,2011-06-22 16:32:00,2011-09-19 10:09:00,426.12,459.84,89,2,2,3,7,Inactive/Low Engagement
12380,22,4,2724.81,77,2011-06-07 09:49:00,2011-11-18 11:27:00,681.2025000000001,1040.39,165,4,4,5,13,Champions
12381,5,5,1845.31,70,2011-08-12 09:57:00,2011-12-05 12:44:00,369.062,1268.74,116,5,4,4,13,Champions
12383,185,5,1850.56,84,2010-12-22 14:28:00,2011-06-08 08:02:00,370.11199999999997,651.16,168,1,4,4,9,At-Risk High-Value
12384,29,2,585.27,26,2011-08-10 11:23:00,2011-11-11 08:39:00,292.635,292.69,93,4,2,3,9,New/Potential Customers
12386,338,2,401.9,10,2010-12-08 09:53:00,2011-01-06 12:37:00,200.95,258.9,30,1,2,2,5,Inactive/Low Engagement
12388,16,6,2780.66,57,2011-01-17 11:12:00,2011-11-24 12:30:00,463.4433333333333,902.09,312,4,4,5,13,Champions
12390,80,1,549.84,32,2011-09-21 09:33:00,2011-09-21 09:33:00,549.84,549.84,1,2,1,3,6,Inactive/Low Engagement
12391,22,1,460.89,92,2011-11-18 12:07:00,2011-11-18 12:07:00,460.89,460.89,1,4,1,2,7,New/Potential Customers
12393,72,4,1582.6000000000001,47,2011-01-11 09:47:00,2011-09-28 15:41:00,395.65,521.5,261,3,4,4,11,Needs Attention
12394,64,2,1272.48,26,2011-05-06 14:01:00,2011-10-07 08:08:00,636.24,891.4,154,3,2,4,9,Needs Attention
12395,19,12,3018.63,91,2010-12-03 16:35:00,2011-11-20 15:21:00,251.5525,346.68,352,4,5,5,14,Champions
12397,36,2,2409.9,110,2011-07-27 14:21:00,2011-11-04 09:52:00,1204.9499999999998,1214.81,100,3,2,5,10,Needs Attention
12398,46,1,1635.6599999999999,85,2011-10-25 10:27:00,2011-10-25 10:27:00,1635.6599999999999,1635.6599999999999,1,3,1,4,8,Needs Attention
12399,119,4,1108.65,47,2011-03-23 09:42:00,2011-08-12 13:15:00,277.1625,480.90000000000003,143,2,4,4,10,At-Risk High-Value
12401,303,1,84.3,5,2011-02-09 13:50:00,2011-02-09 13:50:00,84.3,84.3,1,1,1,1,3,Inactive/Low Engagement
12402,323,1,225.6,11,2011-01-20 13:49:00,2011-01-20 13:49:00,225.6,225.6,1,1,1,1,3,Inactive/Low Engagement
12403,50,1,427.7,5,2011-10-21 10:51:00,2011-10-21 10:51:00,427.7,427.7,1,3,1,2,6,Needs Attention
12405,149,1,1710.39,54,2011-07-14 08:52:00,2011-07-14 08:52:00,1710.39,1710.39,1,2,1,4,7,At-Risk High-Value
12406,22,2,3415.3,92,2011-06-09 10:23:00,2011-11-17 19:22:00,1707.65,1794.05,162,4,2,5,11,Recent High-Value
12407,50,5,1708.1200000000001,57,2011-03-20 13:21:00,2011-10-21 10:11:00,341.62399999999997,719.06,215,3,4,4,11,Needs Attention
12408,33,5,2888.55,81,2011-03-24 14:46:00,2011-11-07 12:27:00,577.71,762.89,228,4,4,5,13,Champions
12409,79,3,11072.67,91,2011-06-10 12:19:00,2011-09-22 10:38:00,3690.89,6207.08,104,2,3,5,10,At-Risk High-Value
12410,309,2,693.3299999999999,26,2011-02-04 10:38:00,2011-02-04 10:39:00,346.66499999999996,625.3299999999999,1,1,2,3,6,Inactive/Low Engagement
12412,75,3,1226.88,43,2011-06-23 13:51:00,2011-09-26 10:16:00,408.96000000000004,514.5,95,2,3,4,9,At-Risk High-Value
12413,67,3,758.1,29,2011-01-06 16:12:00,2011-10-04 09:00:00,252.70000000000002,479.25,271,3,3,3,9,Needs Attention
12414,217,3,562.41,16,2011-02-02 14:51:00,2011-05-06 14:51:00,187.47,242.8,94,1,3,3,7,At Risk
12415,24,21,124914.53,444,2011-01-06 11:12:00,2011-11-15 14:22:00,5948.310952380953,22775.93,314,4,5,5,14,Champions
12417,3,9,3649.1,158,2010-12-17 11:51:00,2011-12-06 14:52:00,405.4555555555555,562.69,355,5,5,5,15,Champions
12418,113,1,668.58,34,2011-08-19 11:08:00,2011-08-19 11:08:00,668.58,668.58,1,2,1,3,6,Inactive/Low Engagement
12420,64,1,600.39,29,2011-10-07 08:55:00,2011-10-07 08:55:00,600.39,600.39,1,3,1,3,7,Needs Attention
12421,16,4,807.04,32,2011-01-24 15:09:00,2011-11-24 09:07:00,201.76,239.35,304,4,4,3,11,Loyal Customers
12422,96,3,803.5600000000001,39,2011-01-19 09:13:00,2011-09-05 09:48:00,267.8533333333333,417.36,230,2,3,3,8,At Risk
12423,1,8,1859.31,97,2010-12-21 10:54:00,2011-12-09 10:10:00,232.41375,347.35,353,5,5,4,14,Champions
12424,163,2,1760.96,30,2011-06-30 12:06:00,2011-06-30 12:06:00,880.4800000000001,1466.3200000000002,1,2,2,4,8,At-Risk High-Value
12425,78,1,777.2,36,2011-09-22 17:31:00,2011-09-22 17:31:00,777.2,777.2,1,2,1,3,6,Inactive/Low Engagement
12426,195,1,582.73,30,2011-05-29 12:26:00,2011-05-29 12:26:00,582.73,582.73,1,1,1,3,5,Inactive/Low Engagement
12427,22,3,825.8,26,2010-12-03 10:44:00,2011-11-18 08:56:00,275.26666666666665,303.5,350,4,3,3,10,Loyal Customers
12428,26,9,7956.46,258,2011-03-01 09:33:00,2011-11-14 08:22:00,884.0511111111111,2474.62,258,4,5,5,14,Champions
12429,9,4,3750.4,82,2010-12-09 12:05:00,2011-11-30 17:22:00,937.6,1281.5,357,5,4,5,14,Champions
12430,43,1,256.4,11,2011-10-27 15:09:00,2011-10-27 15:09:00,256.4,256.4,1,3,1,2,6,Needs Attention
12431,36,15,6487.45,163,2010-12-01 10:03:00,2011-11-04 11:55:00,432.49666666666667,640.1,339,3,5,5,13,Needs Attention
12432,43,5,5059.32,107,2011-06-20 13:27:00,2011-10-28 11:43:00,1011.8639999999999,2862.06,130,3,4,5,12,Needs Attention
12433,1,7,13375.87,219,2010-12-01 13:24:00,2011-12-09 10:02:00,1910.8385714285716,2843.29,373,5,5,5,15,Champions
12434,85,2,806.14,46,2011-03-24 13:05:00,2011-09-16 12:38:00,403.07,519.89,176,2,2,3,7,Inactive/Low Engagement
12435,80,2,7829.89,31,2011-03-17 07:40:00,2011-09-21 09:06:00,3914.945,3978.9900000000002,189,2,2,5,9,At-Risk High-Value
12436,100,1,509.01,16,2011-09-01 12:09:00,2011-09-01 12:09:00,509.01,509.01,1,2,1,3,6,Inactive/Low Engagement
12437,2,18,4951.41,118,2011-01-12 14:13:00,2011-12-08 11:35:00,275.0783333333333,736.55,330,5,5,5,15,Champions
12438,14,2,2906.85,84,2011-07-22 13:29:00,2011-11-25 13:28:00,1453.425,2016.78,126,4,2,5,11,Recent High-Value
12441,367,1,173.55,11,2010-12-08 10:45:00,2010-12-08 10:45:00,173.55,173.55,1,1,1,1,3,Inactive/Low Engagement
12442,3,1,172.06,12,2011-12-06 14:22:00,2011-12-06 14:22:00,172.06,172.06,1,5,1,1,7,New/Potential Customers
12444,21,5,5005.46,138,2011-06-21 14:00:00,2011-11-18 13:23:00,1001.092,1870.2,150,4,4,5,13,Champions
12445,22,1,133.4,4,2011-11-17 18:43:00,2011-11-17 18:43:00,133.4,133.4,1,4,1,1,6,New/Potential Customers
12446,58,1,1002.3100000000001,57,2011-10-13 12:50:00,2011-10-13 12:50:00,1002.3100000000001,1002.3100000000001,1,3,1,4,8,Needs Attention
12447,243,1,476.49,26,2011-04-10 13:25:00,2011-04-10 13:25:00,476.49,476.49,1,1,1,2,4,Inactive/Low Engagement
12448,44,1,449.45,22,2011-10-26 13:46:00,2011-10-26 13:46:00,449.45,449.45,1,3,1,2,6,Needs Attention
12449,22,4,4067.29,118,2011-06-05 15:37:00,2011-11-17 13:46:00,1016.8225,1342.71,165,4,4,5,13,Champions
12450,156,2,197.88,7,2011-06-19 14:36:00,2011-07-06 14:41:00,98.94,101.88,18,2,2,1,5,Inactive/Low Engagement
12451,11,5,9035.52,265,2011-01-19 09:05:00,2011-11-29 08:40:00,1807.104,2919.5099999999998,314,5,4,5,14,Champions
12452,17,2,430.57,21,2011-11-23 08:05:00,2011-11-23 10:28:00,215.285,350.57,1,4,2,2,8,New/Potential Customers
12453,134,1,707.09,43,2011-07-28 14:08:00,2011-07-28 14:08:00,707.09,707.09,1,2,1,3,6,Inactive/Low Engagement
12454,56,1,3528.34,15,2011-10-14 17:13:00,2011-10-14 17:13:00,3528.34,3528.34,1,3,1,5,9,Needs Attention
12455,73,6,2466.86,85,2011-02-16 09:56:00,2011-09-27 15:31:00,411.1433333333334,1683.9,224,2,4,5,11,At-Risk High-Value
12456,44,3,3181.04,105,2011-03-30 09:12:00,2011-10-26 14:41:00,1060.3466666666666,1325.23,211,3,3,5,11,Needs Attention
12457,66,7,2363.23,53,2011-04-14 18:57:00,2011-10-04 13:13:00,337.6042857142857,743.28,173,3,5,5,13,Needs Attention
12458,71,2,947.4,35,2011-02-28 10:55:00,2011-09-29 15:25:00,473.70000000000005,505.48,214,3,2,4,9,Needs Attention
12461,94,2,826.88,35,2011-07-08 10:23:00,2011-09-06 16:57:00,413.44,626.88,61,2,2,3,7,Inactive/Low Engagement
12462,19,2,1189.59,51,2011-02-09 14:44:00,2011-11-21 09:11:00,594.7950000000001,762.11,285,4,2,4,10,Recent High-Value
12463,53,4,1344.78,65,2011-04-12 12:47:00,2011-10-17 13:44:00,336.195,358.99,189,3,4,4,11,Needs Attention
12464,10,8,1212.05,6,2011-02-03 13:30:00,2011-11-29 13:33:00,151.50625,281.9,300,5,5,4,14,Champions
12465,17,2,742.1899999999999,46,2011-06-23 13:37:00,2011-11-22 16:34:00,371.095,440.94,153,4,2,3,9,New/Potential Customers
12468,188,2,729.5400000000001,36,2011-01-27 13:29:00,2011-06-05 11:36:00,364.77000000000004,508.95000000000005,129,1,2,3,6,Inactive/Low Engagement
12471,2,30,19824.05,150,2010-12-10 09:35:00,2011-12-07 15:43:00,660.8016666666666,2238.5099999999998,363,5,5,5,15,Champions
12472,32,7,6572.11,219,2010-12-05 14:19:00,2011-11-07 14:01:00,938.8728571428572,1631.3,337,4,5,5,14,Champions
12473,29,5,3938.5499999999997,140,2011-06-01 10:15:00,2011-11-10 13:46:00,787.71,1697.98,163,4,4,5,13,Champions
12474,17,18,7375.79,253,2011-01-14 10:06:00,2011-11-22 14:39:00,409.7661111111111,806.47,313,4,5,5,14,Champions
12475,54,1,723.38,36,2011-10-17 10:10:00,2011-10-17 10:10:00,723.38,723.38,1,3,1,3,7,Needs Attention
12476,16,11,6816.42,177,2010-12-13 14:39:00,2011-11-24 12:40:00,619.6745454545454,1750.46,346,4,5,5,14,Champions
12477,23,6,13219.74,191,2011-02-11 12:45:00,2011-11-17 09:51:00,2203.29,4257.0599999999995,279,4,4,5,13,Champions
12478,4,1,680.99,36,2011-12-06 09:56:00,2011-12-06 09:56:00,680.99,680.99,1,5,1,3,9,New/Potential Customers
12479,11,1,527.2,31,2011-11-28 13:26:00,2011-11-28 13:26:00,527.2,527.2,1,5,1,3,9,New/Potential Customers
12480,28,4,3281.63,129,2011-01-07 15:27:00,2011-11-11 14:52:00,820.4075,1136.6799999999998,308,4,4,5,13,Champions
12481,23,10,5596.32,150,2010-12-09 10:13:00,2011-11-17 08:29:00,559.6320000000001,1307.76,343,4,5,5,14,Champions
12483,17,8,2484.98,46,2011-01-04 14:20:00,2011-11-22 17:02:00,310.6225,547.56,323,4,5,5,14,Champions
12484,33,6,4541.72,256,2011-01-07 14:04:00,2011-11-07 11:37:00,756.9533333333334,1246.49,304,4,4,5,13,Champions
12488,10,3,1298.66,46,2011-09-25 10:34:00,2011-11-30 08:50:00,432.8866666666667,553.39,66,5,3,4,12,Loyal Customers
12489,336,1,334.93,15,2011-01-07 13:13:00,2011-01-07 13:13:00,334.93,334.93,1,1,1,2,4,Inactive/Low Engagement
12490,5,10,5417.93,131,2011-01-14 09:13:00,2011-12-04 16:07:00,541.793,1035.82,325,5,5,5,15,Champions
12491,39,1,460.40000000000003,25,2011-11-01 12:18:00,2011-11-01 12:18:00,460.40000000000003,460.40000000000003,1,3,1,2,6,Needs Attention
12492,63,2,263.21000000000004,19,2011-08-26 14:51:00,2011-10-07 15:15:00,131.60500000000002,136.82,43,3,2,2,7,Needs Attention
12493,166,2,433.74,20,2011-05-26 14:53:00,2011-06-27 10:17:00,216.87,232.5,32,2,2,2,6,Inactive/Low Engagement
12494,16,7,1246.1000000000001,63,2010-12-09 11:31:00,2011-11-24 09:34:00,178.01428571428573,403.09000000000003,350,4,5,4,13,Champions
12497,82,1,1043.1,14,2011-09-19 12:29:00,2011-09-19 12:29:00,1043.1,1043.1,1,2,1,4,7,At-Risk High-Value
12498,21,3,403.70000000000005,21,2011-10-13 09:30:00,2011-11-18 12:53:00,134.56666666666666,247.25,37,4,3,2,9,Loyal Customers
12500,23,11,4257.82,34,2011-01-10 09:48:00,2011-11-16 16:20:00,387.07454545454544,1096.65,311,4,5,5,14,Champions
12501,337,1,2169.39,149,2011-01-07 12:28:00,2011-01-07 12:28:00,2169.39,2169.39,1,1,1,5,7,At-Risk High-Value
12502,96,5,3723.87,102,2011-02-03 10:41:00,2011-09-05 11:52:00,744.774,1092.35,215,2,4,5,11,At-Risk High-Value
12504,18,2,482.04999999999995,6,2011-11-09 14:56:00,2011-11-21 16:02:00,241.02499999999998,449.4,13,4,2,2,8,New/Potential Customers
12506,233,1,73.5,23,2011-04-21 08:54:00,2011-04-21 08:54:00,73.5,73.5,1,1,1,1,3,Inactive/Low Engagement
12507,134,3,1304.81,19,2011-02-14 09:24:00,2011-07-28 17:09:00,434.93666666666667,811.9,165,2,3,4,9,At-Risk High-Value
12508,26,2,398.27,57,2011-11-10 16:27:00,2011-11-13 15:37:00,199.135,275.19,3,4,2,2,8,New/Potential Customers
12509,284,1,176.5,7,2011-02-28 14:45:00,2011-02-28 14:45:00,176.5,176.5,1,1,1,1,3,Inactive/Low Engagement
12510,143,2,982.5699999999999,29,2011-01-18 14:04:00,2011-07-20 10:15:00,491.28499999999997,681.05,183,2,2,4,8,At-Risk High-Value
12512,66,2,138.03,31,2011-10-04 14:53:00,2011-10-04 14:55:00,69.015,122.33,1,3,2,1,6,Needs Attention
12513,113,1,612.29,35,2011-08-19 10:51:00,2011-08-19 10:51:00,612.29,612.29,1,2,1,3,6,Inactive/Low Engagement
12514,267,1,1017.68,51,2011-03-17 16:38:00,2011-03-17 16:38:00,1017.68,1017.68,1,1,1,4,6,At-Risk High-Value
12515,353,1,383.7,16,2010-12-21 15:43:00,2010-12-21 15:43:00,383.7,383.7,1,1,1,2,4,Inactive/Low Engagement
12516,78,2,1312.06,20,2011-06-12 11:37:00,2011-09-23 09:13:00,656.03,728.86,103,2,2,4,8,At-Risk High-Value
12517,28,5,2502.84,232,2011-06-02 15:13:00,2011-11-11 14:04:00,500.56800000000004,771.75,162,4,4,5,13,Champions
12518,1,5,2056.89,84,2011-08-21 13:18:00,2011-12-09 10:13:00,411.378,524.9,110,5,4,4,13,Champions
12519,64,1,340.84,17,2011-10-07 09:26:00,2011-10-07 09:26:00,340.84,340.84,1,3,1,2,6,Needs Attention
12520,79,5,2634.26,121,2011-03-11 11:35:00,2011-09-21 15:23:00,526.8520000000001,987.42,195,2,4,5,11,At-Risk High-Value
12521,143,1,599.68,38,2011-07-20 10:51:00,2011-07-20 10:51:00,599.68,599.68,1,2,1,3,6,Inactive/Low Engagement
12522,39,2,192.72,11,2011-10-19 14:41:00,2011-10-31 15:30:00,96.36,103.32,13,3,2,1,6,Needs Attention
12523,19,11,1789.77,84,2011-01-12 09:43:00,2011-11-20 12:55:00,162.70636363636365,262.42,313,4,5,4,13,Champions
12524,9,8,4485.72,113,2011-01-10 10:35:00,2011-11-30 15:31:00,560.7149999999999,1094.33,325,5,5,5,15,Champions
12526,1,3,1316.66,64,2011-09-06 14:19:00,2011-12-09 12:09:00,438.8866666666666,520.3,94,5,3,4,12,Loyal Customers
12527,82,3,348.71000000000004,18,2011-01-18 12:05:00,2011-09-19 11:55:00,116.23666666666668,152.4,244,2,3,2,7,At Risk
12528,9,6,1933.48,50,2011-01-31 09:05:00,2011-11-30 14:40:00,322.24666666666667,493.53000000000003,304,5,5,4,14,Champions
12530,60,4,1662.28,51,2011-01-07 10:04:00,2011-10-11 12:34:00,415.57,440.63,278,3,4,4,11,Needs Attention
12531,15,1,125.22,17,2011-11-25 11:12:00,2011-11-25 11:12:00,125.22,125.22,1,4,1,1,6,New/Potential Customers
12532,30,1,349.83000000000004,16,2011-11-09 13:47:00,2011-11-09 13:47:00,349.83000000000004,349.83000000000004,1,4,1,2,7,New/Potential Customers
12534,131,1,1089.18,63,2011-08-01 10:26:00,2011-08-01 10:26:00,1089.18,1089.18,1,2,1,4,7,At-Risk High-Value
12535,92,2,716.35,28,2011-06-06 12:47:00,2011-09-09 08:48:00,358.17499999999995,371.45,95,2,2,3,7,Inactive/Low Engagement
12536,43,3,12601.830000000002,260,2011-10-11 14:52:00,2011-10-27 14:20:00,4200.610000000001,4279.71,16,3,3,5,11,Needs Attention
12538,29,1,363.95,21,2011-11-10 17:16:00,2011-11-10 17:16:00,363.95,363.95,1,4,1,2,7,New/Potential Customers
12539,22,4,5568.35,157,2011-01-10 09:11:00,2011-11-17 13:30:00,1392.0875,1715.85,312,4,4,5,13,Champions
12540,20,17,13400.24,277,2010-12-13 09:39:00,2011-11-20 11:31:00,788.2494117647059,1380.11,343,4,5,5,14,Champions
12541,30,3,981.18,46,2011-03-04 09:32:00,2011-11-10 10:40:00,327.06,445.03999999999996,252,4,3,4,11,Loyal Customers
12544,36,1,372.7,19,2011-11-03 16:15:00,2011-11-03 16:15:00,372.7,372.7,1,3,1,2,6,Needs Attention
12545,75,2,1000.39,42,2011-03-25 12:04:00,2011-09-25 13:39:00,500.195,628.15,185,2,2,4,8,At-Risk High-Value
12546,47,2,1161.5,59,2011-09-23 09:44:00,2011-10-24 12:09:00,580.75,760.2,32,3,2,4,9,Needs Attention
12547,198,2,207.79999999999998,7,2011-03-04 12:46:00,2011-05-26 12:38:00,103.9,159.4,83,1,2,1,4,Inactive/Low Engagement
12548,166,1,95.19999999999999,5,2011-06-26 15:35:00,2011-06-26 15:35:00,95.19999999999999,95.19999999999999,1,2,1,1,4,Inactive/Low Engagement
12550,79,1,964.83,57,2011-09-21 14:35:00,2011-09-21 14:35:00,964.83,964.83,1,2,1,4,7,At-Risk High-Value
12551,358,1,168.0,10,2010-12-17 11:23:00,2010-12-17 11:23:00,168.0,168.0,1,1,1,1,3,Inactive/Low Engagement
12552,39,2,437.82,20,2011-10-31 12:11:00,2011-11-01 10:02:00,218.91,317.82,1,3,2,2,7,Needs Attention
12553,8,10,3692.28,95,2011-01-14 10:42:00,2011-12-01 16:38:00,369.22799999999995,700.31,322,5,5,5,15,Champions
12556,50,2,603.71,100,2011-07-11 13:35:00,2011-10-20 13:06:00,301.855,312.9,101,3,2,3,8,Needs Attention
12557,16,5,11990.960000000001,15,2010-12-03 12:20:00,2011-11-23 16:59:00,2398.192,4146.34,356,4,4,5,13,Champions
12558,8,1,269.96,11,2011-12-02 10:41:00,2011-12-02 10:41:00,269.96,269.96,1,5,1,2,8,New/Potential Customers
12559,311,2,561.71,21,2011-01-24 10:12:00,2011-02-02 09:49:00,280.855,486.11,9,1,2,3,6,Inactive/Low Engagement
12560,5,3,2134.01,91,2011-07-19 15:55:00,2011-12-04 13:54:00,711.3366666666667,1292.31,138,5,3,5,13,Loyal Customers
12561,303,1,238.85,16,2011-02-10 11:39:00,2011-02-10 11:39:00,238.85,238.85,1,1,1,1,3,Inactive/Low Engagement
12562,8,7,3781.7400000000002,99,2011-05-25 12:44:00,2011-12-01 17:20:00,540.2485714285714,654.37,191,5,5,5,15,Champions
12564,261,1,456.9,21,2011-03-23 14:55:00,2011-03-23 14:55:00,456.9,456.9,1,1,1,2,4,Inactive/Low Engagement
12565,289,1,145.92,9,2011-02-24 10:34:00,2011-02-24 10:34:00,145.92,145.92,1,1,1,1,3,Inactive/Low Engagement
12566,86,1,351.65,19,2011-09-14 14:30:00,2011-09-14 14:30:00,351.65,351.65,1,2,1,2,5,Inactive/Low Engagement
12567,23,10,9401.28,323,2010-12-05 11:57:00,2011-11-17 11:02:00,940.128,1650.1,347,4,5,5,14,Champions
12569,2,32,4124.69,92,2011-04-01 13:47:00,2011-12-07 16:24:00,128.89656250000002,348.68,251,5,5,5,15,Champions
12571,40,2,519.61,31,2011-08-10 12:35:00,2011-10-31 10:19:00,259.805,271.26,82,3,2,3,8,Needs Attention
12572,9,2,1020.42,53,2011-10-19 08:20:00,2011-12-01 09:20:00,510.21000000000004,532.74,44,5,2,4,11,Recent High-Value
12573,227,1,160.54000000000002,26,2011-04-26 15:52:00,2011-04-26 15:52:00,160.54000000000002,160.54000000000002,1,1,1,1,3,Inactive/Low Engagement
12574,316,1,218.45,11,2011-01-28 09:20:00,2011-01-28 09:20:00,218.45,218.45,1,1,1,1,3,Inactive/Low Engagement
12576,36,5,1315.83,72,2011-02-08 11:31:00,2011-11-04 10:11:00,263.166,379.28,269,3,4,4,11,Needs Attention
12577,35,3,657.8,137,2010-12-15 16:21:00,2011-11-04 13:24:00,219.26666666666665,327.89,324,3,3,3,9,Needs Attention
12578,21,2,2794.51,111,2011-01-13 15:34:00,2011-11-18 13:30:00,1397.255,1608.66,309,4,2,5,11,Recent High-Value
12579,78,1,440.42,29,2011-09-22 17:15:00,2011-09-22 17:15:00,440.42,440.42,1,2,1,2,5,Inactive/Low Engagement
12580,247,1,415.7,24,2011-04-07 10:24:00,2011-04-07 10:24:00,415.7,415.7,1,1,1,2,4,Inactive/Low Engagement
12581,40,1,197.71,15,2011-10-31 08:56:00,2011-10-31 08:56:00,197.71,197.71,1,3,1,1,5,Needs Attention
12582,239,2,511.36,21,2011-02-24 11:42:00,2011-04-15 08:45:00,255.68,306.2,50,1,2,3,6,Inactive/Low Engagement
12583,3,15,7281.38,115,2010-12-01 08:45:00,2011-12-07 08:07:00,485.42533333333336,855.86,371,5,5,5,15,Champions
12584,4,9,2338.15,44,2011-03-04 15:15:00,2011-12-06 09:35:00,259.7944444444445,463.63,277,5,5,5,15,Champions
12585,234,2,2040.1,77,2010-12-23 12:58:00,2011-04-19 13:39:00,1020.05,1262.85,118,1,2,4,7,At-Risk High-Value
12586,17,1,196.94000000000003,11,2011-11-22 16:24:00,2011-11-22 16:24:00,196.94000000000003,196.94000000000003,1,4,1,1,6,New/Potential Customers
12587,8,1,144.0,4,2011-12-02 12:47:00,2011-12-02 12:47:00,144.0,144.0,1,5,1,1,7,New/Potential Customers
12588,39,1,214.89999999999998,10,2011-10-31 15:01:00,2011-10-31 15:01:00,214.89999999999998,214.89999999999998,1,3,1,1,5,Needs Attention
12589,29,2,646.68,29,2011-07-18 12:05:00,2011-11-11 10:19:00,323.34000000000003,515.1800000000001,116,4,2,3,9,New/Potential Customers
12590,211,2,9864.26,68,2011-05-12 14:46:00,2011-05-12 14:52:00,4932.13,9341.26,1,1,2,5,8,At-Risk High-Value
12591,317,1,452.84999999999997,26,2011-01-26 14:35:00,2011-01-26 14:35:00,452.84999999999997,452.84999999999997,1,1,1,2,4,Inactive/Low Engagement
12592,92,2,437.6,11,2011-05-10 13:44:00,2011-09-08 15:04:00,218.8,231.8,122,2,2,2,6,Inactive/Low Engagement
12593,109,3,418.09999999999997,14,2011-05-05 09:29:00,2011-08-23 12:43:00,139.36666666666667,236.0,111,2,3,2,7,At Risk
12594,38,10,3338.2200000000003,50,2011-01-21 09:52:00,2011-11-02 12:20:00,333.822,722.4000000000001,286,3,5,5,13,Needs Attention
