customerid,recency,frequency,monetary_value,unique_products,first_purchase,last_purchase,avg_order_value,max_order_value,customer_lifetime_days,r_score,f_score,m_score,rfm_score,customer_segment,revenue_rank,cumulative_revenue,cumulative_revenue_share
16013,4,47,37130.6,30,2010-12-03 13:09:00,2011-12-06 10:36:00,790.0127659574467,2251.2,368,5,5,5,15,Champions,26,2367827.58,0.26570746233456227
16422,17,51,34684.4,68,2010-12-05 15:35:00,2011-11-22 14:00:00,680.086274509804,2353.0,352,4,5,5,14,Champions,27,2402511.98,0.2695995970425281
12748,1,209,33719.73,1768,2010-12-01 12:48:00,2011-12-09 12:20:00,161.3384210526316,2026.7,373,5,5,5,15,Champions,28,2436231.71,0.27338348061774465
15838,11,19,33643.08,54,2010-12-07 11:26:00,2011-11-28 14:00:00,1770.6884210526316,10992.96,357,5,5,5,15,Champions,29,2469874.79,0.27715876285848895
17404,4,15,31906.82,111,2010-12-14 13:28:00,2011-12-05 16:26:00,2127.1213333333335,5296.96,357,5,5,5,15,Champions,30,2501781.61,0.2807392094437786
17389,1,34,31833.68,45,2011-01-12 15:48:00,2011-12-09 09:38:00,936.2847058823529,7427.32,331,5,5,5,15,Champions,31,2533615.29,0.284311448571752
13098,1,28,28882.44,156,2011-01-26 13:46:00,2011-12-08 14:14:00,1031.5157142857142,2482.44,317,5,5,5,15,Champions,32,2562497.73,0.2875525121961694
14680,25,16,28754.11,73,2010-12-03 12:05:00,2011-11-14 16:59:00,1797.131875,3609.8,347,4,5,5,14,Champions,33,2591251.84,0.2907791751780191
13081,12,11,28337.38,503,2010-12-03 17:20:00,2011-11-28 10:54:00,2576.1254545454544,7271.34,360,5,5,5,15,Champions,34,2619589.2199999997,0.293959074505406
13408,2,62,28117.04,234,2010-12-01 10:39:00,2011-12-08 09:05:00,453.5006451612903,1145.32,372,5,5,5,15,Champions,35,2647706.26,0.2971142482223873
17857,4,23,26879.04,19,2010-12-09 11:35:00,2011-12-05 13:13:00,1168.6539130434783,5424.0,362,5,5,5,15,Champions,36,2674585.3,0.3001304988855328
16333,8,22,26626.8,9,2011-02-03 10:50:00,2011-12-02 12:19:00,1210.3090909090909,5727.0,303,5,5,5,15,Champions,37,2701212.0999999996,0.3031184442569985
13777,1,33,25977.16,36,2010-12-01 16:01:00,2011-12-09 12:25:00,787.1866666666666,6260.900000000001,373,5,5,5,15,Champions,38,2727189.26,0.3060334898120718
12753,23,6,21429.39,132,2010-12-12 11:44:00,2011-11-17 10:52:00,3571.565,5735.24,340,4,5,5,14,Champions,39,2748618.65,0.30843820410984074
12744,52,7,21279.29,178,2011-01-25 13:26:00,2011-10-19 11:18:00,3039.8985714285714,6068.0599999999995,267,3,5,5,13,Needs Attention,40,2769897.94,0.31082607482894997
16210,2,18,21086.3,74,2010-12-01 12:27:00,2011-12-08 12:36:00,1171.4611111111112,3599.4,373,5,5,5,15,Champions,41,2790984.2399999998,0.3131922890374293
17675,1,31,20374.28,239,2010-12-07 13:22:00,2011-12-08 18:03:00,657.2348387096774,1532.76,367,5,5,5,15,Champions,42,2811358.5199999996,0.3154786034132817
17381,9,29,20275.61,40,2010-12-02 12:58:00,2011-12-01 11:59:00,699.1589655172414,2567.6400000000003,364,5,5,5,15,Champions,43,2831634.1299999994,0.31775384546464136
15039,10,47,19914.44,408,2010-12-06 11:26:00,2011-11-30 11:31:00,423.7114893617021,928.08,360,5,5,5,15,Champions,44,2851548.5699999994,0.31998855856660374
12471,2,30,19824.05,150,2010-12-10 09:35:00,2011-12-07 15:43:00,660.8016666666666,2238.5099999999998,363,5,5,5,15,Champions,45,2871372.619999999,0.3222131284901847
12731,24,12,18895.91,109,2010-12-10 10:56:00,2011-11-16 11:59:00,1574.6591666666666,3174.4300000000003,342,4,5,5,14,Champions,46,2890268.5299999993,0.32433354652104585
15159,2,30,18641.010000000002,363,2010-12-13 15:44:00,2011-12-08 12:05:00,621.3670000000001,3091.98,360,5,5,5,15,Champions,47,2908909.539999999,0.32642536076642814
12901,9,28,17654.54,30,2011-03-14 10:41:00,2011-12-01 10:07:00,630.5192857142857,2843.6,262,5,5,5,15,Champions,48,2926564.079999999,0.3284064775764976
12678,42,12,17628.46,105,2010-12-21 11:00:00,2011-10-28 13:04:00,1469.0383333333332,8895.76,312,3,5,5,13,Needs Attention,49,2944192.539999999,0.33038466780074793
14031,7,19,17286.86,119,2010-12-02 16:34:00,2011-12-02 17:13:00,909.8347368421053,2068.09,366,5,5,5,15,Champions,50,2961479.399999999,0.3323245251371224
17428,1,28,17256.85,252,2010-12-06 09:37:00,2011-12-09 09:45:00,616.3160714285714,4090.28,369,5,5,5,15,Champions,51,2978736.249999999,0.3342610148799221
13767,2,37,17220.36,55,2010-12-01 10:47:00,2011-12-07 15:00:00,465.41513513513513,1735.3000000000002,372,5,5,5,15,Champions,52,2995956.609999999,0.33619340987132074
13881,4,20,17159.52,72,2011-02-01 10:14:00,2011-12-06 12:50:00,857.976,2251.94,309,5,5,5,15,Champions,53,3013116.129999999,0.33811897765868437
16839,9,34,16594.35,114,2010-12-05 11:15:00,2011-12-01 09:03:00,488.06911764705876,987.9399999999999,361,5,5,5,15,Champions,54,3029710.479999999,0.33998112449101053
12921,9,37,16587.09,233,2010-12-01 15:06:00,2011-11-30 16:22:00,448.29972972972973,1348.5800000000002,365,5,5,5,15,Champions,55,3046297.569999999,0.3418424566372536
14607,16,14,16569.5,38,2011-03-23 15:22:00,2011-11-24 10:35:00,1183.5357142857142,2949.2799999999997,246,4,5,5,14,Champions,56,3062867.069999999,0.3437018149090888
15856,4,27,16387.57,295,2010-12-09 13:34:00,2011-12-05 17:09:00,606.947037037037,1571.32,362,5,5,5,15,Champions,57,3079254.6399999987,0.3455407577760901
17677,2,30,16363.23,178,2010-12-06 08:42:00,2011-12-08 09:56:00,545.441,1798.33,368,5,5,5,15,Champions,58,3095617.8699999987,0.3473769693126146
15189,1,41,16225.39,80,2011-01-11 12:29:00,2011-12-08 13:22:00,395.74121951219513,1284.1200000000001,332,5,5,5,15,Champions,59,3111843.259999999,0.349197713035132
14051,1,23,15610.390000000001,52,2010-12-08 12:49:00,2011-12-09 10:20:00,678.7126086956522,1203.9,366,5,5,5,15,Champions,60,3127453.649999999,0.3509494440935872
15513,33,19,14758.220000000001,183,2010-12-01 11:22:00,2011-11-06 14:36:00,776.7484210526317,2520.28,341,3,5,5,13,Needs Attention,61,3142211.869999999,0.3526055482871093
16133,4,33,14589.04,219,2011-01-25 15:55:00,2011-12-06 11:24:00,442.09212121212124,2210.05,315,5,5,5,15,Champions,62,3156800.909999999,0.35424266782615
14866,11,12,14389.9,30,2010-12-08 14:58:00,2011-11-29 11:45:00,1199.1583333333333,5639.52,356,5,5,5,15,Champions,63,3171190.809999999,0.3558574407279202
16705,1,20,14034.99,133,2010-12-16 10:51:00,2011-12-09 12:08:00,701.7495000000001,2489.11,359,5,5,5,15,Champions,64,3185225.7999999993,0.3574323871506623
12681,15,22,13787.54,267,2010-12-07 10:08:00,2011-11-25 11:33:00,626.7063636363636,1238.06,354,4,5,5,14,Champions,65,3199013.3399999994,0.35897956579499424
12621,2,20,13689.67,261,2010-12-09 10:16:00,2011-12-08 11:25:00,684.4835,1209.8,365,5,5,5,15,Champions,66,3212703.0099999993,0.36051576188740464
12540,20,17,13400.24,277,2010-12-13 09:39:00,2011-11-20 11:31:00,788.2494117647059,1380.11,343,4,5,5,14,Champions,67,3226103.2499999995,0.36201947938573453
12433,1,7,13375.87,219,2010-12-01 13:24:00,2011-12-09 10:02:00,1910.8385714285716,2843.29,373,5,5,5,15,Champions,68,3239479.1199999996,0.36352046218711614
15498,3,27,13316.4,360,2010-12-08 12:29:00,2011-12-07 12:48:00,493.2,1761.18,365,5,5,5,15,Champions,69,3252795.5199999996,0.3650147715199908
12477,23,6,13219.74,191,2011-02-11 12:45:00,2011-11-17 09:51:00,2203.29,4257.0599999999995,279,4,4,5,13,Champions,70,3266015.26,0.3664982340819577
17735,2,19,13110.02,319,2010-12-07 10:32:00,2011-12-07 16:47:00,690.001052631579,954.0,366,5,5,5,15,Champions,71,3279125.28,0.36796938433579307
16525,2,26,13027.45,75,2010-12-08 11:31:00,2011-12-07 15:07:00,501.0557692307693,974.62,365,5,5,5,15,Champions,72,3292152.73,0.3694312689381299
14258,9,9,12669.98,58,2011-01-06 12:18:00,2011-11-30 15:27:00,1407.7755555555555,3120.2200000000003,329,5,5,5,15,Champions,73,3304822.71,0.37085303978921086
13078,3,26,12627.94,95,2010-12-08 09:07:00,2011-12-06 15:36:00,485.69,846.45,364,5,5,5,15,Champions,74,3317450.65,0.3722700930916786
12536,43,3,12601.830000000002,260,2011-10-11 14:52:00,2011-10-27 14:20:00,4200.610000000001,4279.71,16,3,3,5,11,Needs Attention,75,3330052.48,0.3736842164418558
15640,4,15,12515.66,240,2010-12-02 15:40:00,2011-12-05 14:35:00,834.3773333333334,1485.78,368,5,5,5,15,Champions,76,3342568.14,0.3750886701639643
16000,3,3,12393.7,9,2011-12-07 12:14:00,2011-12-07 12:17:00,4131.233333333334,8345.2,1,5,4,5,14,Champions,77,3354961.8400000003,0.37647943805760287
17340,30,11,12353.29,229,2010-12-08 15:56:00,2011-11-10 10:45:00,1123.0263636363636,3893.79,337,4,5,5,14,Champions,78,3367315.1300000004,0.3778656713142418
12682,4,31,12288.22,209,2010-12-03 13:59:00,2011-12-06 10:00:00,396.3941935483871,835.11,368,5,5,5,15,Champions,79,3379603.3500000006,0.3792446026943759
13113,1,24,12245.960000000001,95,2010-12-08 13:21:00,2011-12-09 12:49:00,510.2483333333333,1961.05,366,5,5,5,15,Champions,80,3391849.3100000005,0.38061879183843955
14606,1,93,12156.65,819,2010-12-01 16:57:00,2011-12-08 19:28:00,130.71666666666667,339.68,373,5,5,5,15,Champions,81,3404005.9600000004,0.3819829589970928
12557,16,5,11990.960000000001,15,2010-12-03 12:20:00,2011-11-23 16:59:00,2398.192,4146.34,356,4,4,5,13,Champions,82,3415996.9200000004,0.3833285331341063
12939,64,8,11581.8,21,2011-01-09 11:20:00,2011-10-06 14:33:00,1447.725,3376.08,271,3,5,5,13,Needs Attention,83,3427578.72,0.3846281930896113
15125,25,15,11528.48,102,2011-03-14 09:59:00,2011-11-14 13:57:00,768.5653333333333,3840.88,246,4,5,5,14,Champions,84,3439107.2,0.38592186970325004
14194,5,21,11349.52,269,2011-02-04 14:51:00,2011-12-05 10:38:00,540.4533333333334,1120.11,304,5,5,5,15,Champions,85,3450456.72,0.3871954641927252
12971,4,86,11189.91,94,2010-12-02 16:42:00,2011-12-06 12:20:00,130.11523255813952,411.08000000000004,369,5,5,5,15,Champions,86,3461646.6300000004,0.3884511479321013
14895,8,20,11138.710000000001,273,2011-02-22 13:08:00,2011-12-02 09:23:00,556.9355,2346.34,283,5,5,5,15,Champions,87,3472785.3400000003,0.3897010862269245
12409,79,3,11072.67,91,2011-06-10 12:19:00,2011-09-22 10:38:00,3690.89,6207.08,104,2,3,5,10,At-Risk High-Value,88,3483858.0100000002,0.3909436137960003
15482,16,12,11054.96,46,2010-12-16 10:08:00,2011-11-24 10:46:00,921.2466666666666,2210.64,344,4,5,5,14,Champions,89,3494912.97,0.3921841540247825
17581,1,25,11045.04,229,2010-12-02 14:47:00,2011-12-09 12:21:00,441.8016,1351.22,372,5,5,5,15,Champions,90,3505958.0100000002,0.3934235810736827
13319,5,26,10845.550000000001,209,2010-12-09 10:04:00,2011-12-04 13:34:00,417.1365384615384,1855.99,361,5,5,5,15,Champions,91,3516803.56,0.39464062220981244
17107,33,6,10815.43,269,2011-03-06 15:17:00,2011-11-06 14:14:00,1802.5716666666667,2423.6,245,3,5,5,13,Needs Attention,92,3527618.99,0.3958542834086389
13340,45,7,10736.48,128,2011-03-08 11:39:00,2011-10-25 13:15:00,1533.782857142857,3678.03,232,3,5,5,13,Needs Attention,93,3538355.47,0.3970590851768511
14769,3,8,10674.75,718,2010-12-17 11:40:00,2011-12-07 10:24:00,1334.34375,3844.84,355,5,5,5,15,Champions,94,3549030.22,0.39825695986904297
17139,16,12,10668.47,309,2011-02-24 09:32:00,2011-11-24 10:12:00,889.0391666666666,2639.38,274,4,5,5,14,Champions,95,3559698.6900000004,0.39945412984655143
16779,2,22,10629.720000000001,161,2010-12-08 09:56:00,2011-12-07 14:54:00,483.169090909091,891.5500000000001,365,5,5,5,15,Champions,96,3570328.4100000006,0.4006469514651454
17865,31,20,10526.32,191,2010-12-10 14:53:00,2011-11-09 12:08:00,526.316,1142.88,334,4,5,5,14,Champions,97,3580854.7300000004,0.40182816997891974
17706,4,17,10504.49,270,2010-12-08 11:02:00,2011-12-05 13:34:00,617.9111764705882,2662.17,363,5,5,5,15,Champions,98,3591359.2200000007,0.4030069388236592
15251,9,11,10484.99,97,2011-04-12 10:38:00,2011-11-30 15:02:00,953.180909090909,2846.02,233,5,5,5,15,Champions,99,3601844.210000001,0.40418351946197717
14062,10,12,10464.85,60,2010-12-10 15:56:00,2011-11-30 10:04:00,872.0708333333333,1708.68,355,5,5,5,15,Champions,100,3612309.060000001,0.40535784007581677
15615,10,23,10399.74,184,2010-12-15 16:21:00,2011-11-29 14:42:00,452.1626086956522,1048.64,349,5,5,5,15,Champions,101,3622708.800000001,0.40652485432452284
15502,16,12,10384.93,164,2010-12-05 15:40:00,2011-11-24 12:48:00,865.4108333333334,3315.0699999999997,354,4,5,5,14,Champions,102,3633093.7300000014,0.40769020665850575
16180,100,8,10254.18,90,2011-04-01 10:23:00,2011-08-31 16:28:00,1281.7725,2317.0,153,2,5,5,12,At-Risk High-Value,103,3643347.9100000015,0.4088408867878933
16843,43,16,10196.57,226,2011-01-16 16:10:00,2011-10-28 09:06:00,637.285625,1830.72,285,3,5,5,13,Needs Attention,104,3653544.4800000014,0.40998510217000184
12590,211,2,9864.26,68,2011-05-12 14:46:00,2011-05-12 14:52:00,4932.13,9341.26,1,1,2,5,8,At-Risk High-Value,105,3663408.740000001,0.41109202714821674
13001,4,13,9818.82,166,2011-01-17 12:45:00,2011-12-05 14:51:00,755.2938461538462,1853.52,323,5,5,5,15,Champions,106,3673227.560000001,0.4121938530443911
13199,4,38,9817.12,48,2010-12-08 10:51:00,2011-12-06 12:30:00,258.34526315789475,1826.8799999999999,364,5,5,5,15,Champions,107,3683044.680000001,0.4132954881738518
15078,7,32,9743.11,97,2010-12-06 12:38:00,2011-12-02 15:41:00,304.4721875,590.03,362,5,5,5,15,Champions,108,3692787.790000001,0.4143888182183251
12709,15,15,9736.52,93,2010-12-08 09:49:00,2011-11-24 15:38:00,649.1013333333334,1225.26,352,4,5,5,14,Champions,109,3702524.310000001,0.4154814087612436
13458,7,14,9646.57,242,2010-12-15 12:05:00,2011-12-02 15:29:00,689.0407142857142,1489.18,353,5,5,5,15,Champions,110,3712170.880000001,0.41656390550069483
14733,16,12,9585.91,102,2010-12-07 11:30:00,2011-11-23 15:39:00,798.8258333333333,1830.02,352,4,5,5,14,Champions,111,3721756.790000001,0.4176395952349396
16523,2,21,9418.470000000001,151,2011-01-28 12:06:00,2011-12-08 09:06:00,448.4985714285714,848.98,314,5,5,5,15,Champions,112,3731175.260000001,0.4186964955700452
12567,23,10,9401.28,323,2010-12-05 11:57:00,2011-11-17 11:02:00,940.128,1650.1,347,4,5,5,14,Champions,113,3740576.540000001,0.4197514669170284
14367,8,16,9261.52,270,2011-03-08 14:12:00,2011-12-01 13:19:00,578.845,1037.3700000000001,268,5,5,5,15,Champions,114,3749838.060000001,0.42079075499583385
14667,11,25,9241.2,354,2010-12-06 13:13:00,2011-11-29 11:30:00,369.648,1069.29,358,5,5,5,15,Champions,115,3759079.260000001,0.42182776285133244
18092,2,11,9068.26,28,2010-12-09 10:00:00,2011-12-07 13:14:00,824.3872727272727,1485.72,364,5,5,5,15,Champions,116,3768147.520000001,0.4228453641212653
13969,7,18,9053.94,334,2010-12-09 19:32:00,2011-12-02 15:11:00,502.99666666666667,1204.36,358,5,5,5,15,Champions,117,3777201.460000001,0.42386135846217476
12451,11,5,9035.52,265,2011-01-19 09:05:00,2011-11-29 08:40:00,1807.104,2919.5099999999998,314,5,4,5,14,Champions,118,3786236.980000001,0.4248752857896338
13488,17,13,8968.31,271,2010-12-07 13:01:00,2011-11-22 14:41:00,689.87,1381.92,351,4,5,5,14,Champions,119,3795205.290000001,0.4258816710989601
13090,9,14,8910.82,98,2010-12-02 07:48:00,2011-12-01 12:39:00,636.4871428571429,1833.69,365,5,5,5,15,Champions,120,3804116.110000001,0.426881605126893
16033,6,20,8816.4,538,2010-12-05 10:36:00,2011-12-04 12:44:00,440.82,1193.34,365,5,5,5,15,Champions,121,3812932.5100000007,0.42787094374711737
17017,3,20,8694.26,88,2010-12-02 10:17:00,2011-12-07 09:32:00,434.713,824.02,370,5,5,5,15,Champions,122,3821626.7700000005,0.42884657634004325
17243,1,26,8676.85,180,2010-12-05 10:03:00,2011-12-08 13:26:00,333.725,616.8,369,5,5,5,15,Champions,123,3830303.6200000006,0.4298202552573898
17306,11,19,8631.31,13,2010-12-21 13:34:00,2011-11-29 12:14:00,454.2794736842105,748.94,343,5,5,5,15,Champions,124,3838934.9300000006,0.4307888238711243
16656,22,15,8625.8,14,2010-12-10 11:23:00,2011-11-17 14:43:00,575.0533333333333,1093.44,343,4,5,5,14,Champions,125,3847560.7300000004,0.43175677417627506
14527,3,55,8508.82,330,2010-12-05 13:17:00,2011-12-07 12:19:00,154.7058181818182,361.34,367,5,5,5,15,Champions,126,3856069.5500000003,0.4327115974872112
12683,4,15,8476.57,177,2010-12-09 10:37:00,2011-12-05 16:31:00,565.1046666666666,1130.95,362,5,5,5,15,Champions,127,3864546.12,0.4336628018413734
18139,18,6,8438.34,35,2011-11-21 14:06:00,2011-11-22 10:44:00,1406.39,2786.4,1,4,5,5,14,Champions,128,3872984.46,0.4346097161887923
15358,5,22,8347.2,292,2010-12-09 10:04:00,2011-12-05 09:04:00,379.41818181818184,829.85,361,5,5,5,15,Champions,129,3881331.66,0.4355464031960444
16558,1,20,8338.49,264,2010-12-08 12:01:00,2011-12-09 10:20:00,416.92449999999997,1256.69,366,5,5,5,15,Champions,130,3889670.1500000004,0.43648211280442817
14056,1,23,8214.65,320,2011-02-28 15:19:00,2011-12-08 13:36:00,357.1586956521739,659.08,283,5,5,5,15,Champions,131,3897884.8000000003,0.4374039256187998
14936,34,8,8137.02,210,2011-03-09 11:53:00,2011-11-06 10:30:00,1017.1274999999999,2060.0299999999997,242,3,5,5,13,Needs Attention,132,3906021.8200000003,0.43831702712729964
16672,2,20,8134.9400000000005,22,2011-03-18 10:15:00,2011-12-07 16:29:00,406.747,1175.44,265,5,5,5,15,Champions,133,3914156.7600000002,0.4392298952271146
13854,9,25,8109.5199999999995,39,2010-12-09 10:48:00,2011-12-01 09:06:00,324.3808,429.9,357,5,5,5,15,Champions,134,3922266.2800000003,0.4401399108034816
14952,60,11,8099.49,117,2010-12-10 12:48:00,2011-10-11 10:33:00,736.3172727272728,2505.84,305,3,5,5,13,Needs Attention,135,3930365.7700000005,0.44104880085623793
18109,2,26,8052.97,119,2010-12-05 10:58:00,2011-12-08 11:36:00,309.7296153846154,692.67,369,5,5,5,15,Champions,136,3938418.7400000007,0.4419524706339827
14796,1,17,8022.49,403,2010-12-08 10:40:00,2011-12-08 15:31:00,471.9111764705882,835.95,366,5,5,5,15,Champions,137,3946441.230000001,0.442852720076767
12428,26,9,7956.46,258,2011-03-01 09:33:00,2011-11-14 08:22:00,884.0511111111111,2474.62,258,4,5,5,14,Champions,138,3954397.690000001,0.4437455599159611
15290,5,18,7943.22,93,2010-12-15 16:03:00,2011-12-05 11:39:00,441.29,1510.3600000000001,355,5,5,5,15,Champions,139,3962340.910000001,0.4446369140191028
14849,22,25,7930.54,159,2010-12-01 12:22:00,2011-11-18 10:58:00,317.2216,813.89,352,4,5,5,14,Champions,140,3970271.450000001,0.44552684522699204
12757,16,13,7857.1,237,2011-05-12 19:01:00,2011-11-24 12:30:00,604.3923076923077,1578.8700000000001,196,4,5,5,14,Champions,141,3978128.550000001,0.4464085353128508
17811,4,39,7837.7300000000005,359,2011-01-10 10:58:00,2011-12-05 13:46:00,200.9674358974359,1271.55,330,5,5,5,15,Champions,142,3985966.280000001,0.4472880517803308
13093,276,8,7832.47,97,2010-12-01 15:00:00,2011-03-09 12:14:00,979.05875,1827.91,98,1,5,5,11,At-Risk High-Value,143,3993798.7500000014,0.4481669779931557
12435,80,2,7829.89,31,2011-03-17 07:40:00,2011-09-21 09:06:00,3914.945,3978.9900000000002,189,2,2,5,9,At-Risk High-Value,144,4001628.6400000015,0.44904561468943865
13629,23,11,7792.36,28,2011-01-05 12:09:00,2011-11-16 13:21:00,708.3963636363636,895.0,316,4,5,5,14,Champions,145,4009421.0000000014,0.44992003992997803
15044,19,17,7700.2300000000005,233,2010-12-12 14:27:00,2011-11-20 13:20:00,452.954705882353,866.97,343,4,5,5,14,Champions,146,4017121.2300000014,0.4507841267367938
15194,3,15,7616.53,209,2010-12-06 15:00:00,2011-12-06 15:10:00,507.76866666666666,1421.67,366,5,5,5,15,Champions,147,4024737.760000001,0.4516388210883542
18172,15,20,7561.68,100,2011-02-23 10:44:00,2011-11-25 11:12:00,378.084,1329.36,276,4,5,5,14,Champions,148,4032299.4400000013,0.452487360408006
13263,1,35,7454.07,450,2011-01-18 16:31:00,2011-12-08 13:59:00,212.97342857142857,499.49,324,5,5,5,15,Champions,149,4039753.510000001,0.45332382419468265
12474,17,18,7375.79,253,2011-01-14 10:06:00,2011-11-22 14:39:00,409.7661111111111,806.47,313,4,5,5,14,Champions,150,4047129.300000001,0.45415150373527347
12980,158,9,7374.900000000001,6,2010-12-16 11:36:00,2011-07-05 09:34:00,819.4333333333334,1077.1200000000001,201,2,5,5,12,At-Risk High-Value,151,4054504.200000001,0.4549790834038789
15465,20,18,7354.62,43,2010-12-05 10:12:00,2011-11-20 10:11:00,408.59,786.4399999999999,350,4,5,5,14,Champions,152,4061858.820000001,0.455804387337806
17396,39,8,7330.8,24,2010-12-03 09:45:00,2011-10-31 14:12:00,916.3499999999999,2034.0,333,3,5,5,13,Needs Attention,153,4069189.620000001,0.4566270182934274
12583,3,15,7281.38,115,2010-12-01 08:45:00,2011-12-07 08:07:00,485.42533333333336,855.86,371,5,5,5,15,Champions,154,4076471.000000001,0.45744410354846676
13018,16,28,7277.7,313,2011-02-17 11:05:00,2011-11-23 13:28:00,259.91785714285714,493.45,280,4,5,5,14,Champions,155,4083748.700000001,0.45826077584967895
18229,12,20,7276.900000000001,66,2010-12-01 16:25:00,2011-11-28 09:48:00,363.84499999999997,495.4,362,5,5,5,15,Champions,156,4091025.600000001,0.45907735837832
16923,12,19,7247.61,313,2010-12-12 11:06:00,2011-11-27 13:00:00,381.4531578947368,658.11,351,5,5,5,15,Champions,157,4098273.210000001,0.4598906541087002
16729,38,21,7239.92,234,2011-04-12 14:22:00,2011-11-01 14:29:00,344.7580952380952,604.73,204,3,5,5,13,Needs Attention,158,4105513.130000001,0.4607030869002404
16745,87,17,7194.3,148,2011-02-01 11:31:00,2011-09-14 11:58:00,423.1941176470588,821.6,226,2,5,5,12,At-Risk High-Value,159,4112707.4300000006,0.46151040041091146
